0.4609,-0.1519,0.1863,0.8542,13.75,-15.125,-52.688,-0.19,0.71,2.97,0.5613,0.0906,0.5243,0.6339,17.938,-30.313,-17.938,-0.02,2.57,1.33,0.7427,-0.2178,-0.6041,-0.1898,-37.25,-4.3125,-1.9375,0.19,-0.05,0.08
0.4736,-0.1487,0.1816,0.8489,1.875,-27.313,-52.25,-0.21,0.72,2.74,0.5696,0.0978,0.5206,0.6285,7.6875,-33.938,-7.6875,-0.14,2.05,1.21,0.74,-0.2239,-0.6035,-0.1954,-33.375,-3.5,-3.75,0.26,-0.09,0.19
0.4901,-0.1413,0.1747,0.8422,4.875,-36.125,-45.813,-0.16,1.29,2.6,0.5776,0.1104,0.5148,0.6238,14.438,-38,0.75,-0.07,1.62,0.94,0.7356,-0.2335,-0.6019,-0.2051,-32.125,-2.6875,-5.1875,0.29,-0.04,0.15
0.507,-0.1288,0.166,0.836,4.875,-42.125,-33.063,-0.12,1.42,1.71,0.5822,0.1236,0.5101,0.621,12.938,-39.688,11.75,0.27,2.11,0.74,0.7323,-0.2404,-0.6006,-0.2126,-28.25,-1.5625,-6.125,0.27,-0.26,-0.01
0.5157,-0.1177,0.1572,0.8339,-1.9375,-44.438,-22.938,0.18,1.63,1.3,0.5849,0.1355,0.503,0.6217,3.8125,-38.188,17.75,0.25,2.13,0.74,0.7297,-0.2449,-0.5997,-0.2187,-20.375,-1.25,-6.25,0.28,-0.24,-0.12
0.5229,-0.107,0.1464,0.8329,-8.6875,-45.813,-17.125,0.12,1.45,1.42,0.5856,0.1439,0.4966,0.6243,-2.4375,-35.563,25.5,0.2,1.56,0.55,0.7277,-0.2484,-0.5989,-0.2238,-18.188,-0.125,-5.8125,0.18,-0.19,0.1
0.5263,-0.0969,0.1393,0.8333,-7.9375,-48.063,-7.5625,0.08,1.6,1.22,0.585,0.1567,0.4886,0.628,3.1875,-33.563,32.688,0.21,1.51,0.4,0.7265,-0.2502,-0.5984,-0.2269,-12.25,0.1875,-5.75,0.3,-0.14,0.12
0.5278,-0.0803,0.1324,0.8351,-3.5,-50.875,1.125,0.14,1.21,0.79,0.5818,0.1707,0.4815,0.6328,5.125,-30.125,37.688,0.56,1.7,0.33,0.7254,-0.2509,-0.598,-0.2307,-5.8125,1.3125,-6.375,0.26,-0.16,0.1
0.5281,-0.0621,0.1209,0.8382,-1.3125,-51,8.0625,0.05,1.28,0.25,0.5751,0.1869,0.4731,0.6407,3,-22.75,44.688,0.17,1.7,0.09,0.7252,-0.2495,-0.5983,-0.2323,2.9375,0,-7.1875,0.21,-0.2,0.15
0.5267,-0.0477,0.1115,0.8413,-2.875,-49.938,15.438,0.13,1.46,0.04,0.5688,0.1974,0.4689,0.6462,4.6875,-18,47.313,0.28,1.59,0.28,0.7252,-0.2464,-0.5995,-0.2324,9.5,-1.0625,-7.125,0.3,-0.13,0.08
0.5227,-0.0345,0.1014,0.8458,-7.75,-47.125,21.688,-0.01,1.42,0.18,0.5601,0.2094,0.4632,0.6542,0.9375,-14.063,50.875,0.19,1.34,0.41,0.7253,-0.2432,-0.6009,-0.2316,14.938,-2.5,-6.75,0.21,-0.15,0.22
0.5176,-0.0244,0.0958,0.8499,-5.875,-45.063,29.688,-0.06,1.07,0.03,0.5498,0.2191,0.4572,0.6639,-3.9375,-7.75,53.5,0.17,1.4,0.19,0.7259,-0.2372,-0.6037,-0.2288,22.313,-4.3125,-6.4375,0.22,-0.16,0.27
0.5091,-0.012,0.0863,0.8563,-9.3125,-42.313,35.5,-0.13,0.83,-0.32,0.5393,0.2277,0.4503,0.6742,-8.0625,-6,54.188,0.46,1.35,0.18,0.7261,-0.2304,-0.6077,-0.2244,28,-9.375,-6.4375,0.26,0.05,0.17
